model,extended/system+user,extended/user,korean/system+user,korean/user,long/system+user,long/user,simple/system+user,simple/user
google/gemini-3.5-flash-lite,0.6463729117614082,0.6350596737107194,0.6533241315850012,0.6345032582599749,0.6204454480139587,0.6266223652787872,0.5814397555852587,0.5577560795873251
kanana-2-3b-instruct-i1,0.1841044142614601,0.3273835063932035,0.3156500939689048,0.3086835677587805,0.22296156520011923,0.3340238218539617,0.12470862470862469,0.2717290154476084
mistralai/ministral-3-3b,0.2900010069479408,0.2845320800980793,0.25286469810489204,0.22049753289473686,0.2757158006362672,0.2774979393717374,0.27843967875739123,0.27129704120854564
openai/gpt-5.6-luna,0.6634505654113498,0.6632277081798085,0.6806629834254143,0.6917897480451781,0.6233627631706606,0.6395291324562272,0.5438106053987944,0.5578900312919088
